iter	Passed	Remaining
0	23	2317
1	47	2318
2	71	2325
3	96	2305
4	118	2257
5	143	2242
6	167	2224
7	190	2194
8	214	2170
9	238	2144
10	261	2114
11	284	2083
12	308	2064
13	331	2035
14	354	2009
15	378	1985
16	401	1959
17	427	1946
18	452	1931
19	477	1909
20	502	1891
21	527	1869
22	551	1845
23	578	1831
24	603	1811
25	628	1788
26	654	1768
27	678	1745
28	704	1725
29	730	1704
30	756	1684
31	781	1660
32	806	1638
33	831	1613
34	854	1586
35	878	1562
36	903	1537
37	929	1516
38	957	1496
39	983	1475
40	1008	1451
41	1034	1428
42	1058	1403
43	1084	1380
44	1108	1354
45	1132	1328
46	1157	1305
47	1181	1280
48	1206	1255
49	1230	1230
50	1255	1205
51	1279	1181
52	1304	1157
53	1329	1132
54	1353	1107
55	1376	1081
56	1399	1055
57	1424	1031
58	1449	1007
59	1473	982
60	1498	957
61	1526	935
62	1551	911
63	1574	885
64	1598	860
65	1624	836
66	1652	813
67	1676	789
68	1702	764
69	1727	740
70	1753	716
71	1779	692
72	1803	666
73	1827	641
74	1850	616
75	1874	591
76	1899	567
77	1924	542
78	1953	519
79	1978	494
80	2002	469
81	2026	444
82	2053	420
83	2080	396
84	2105	371
85	2131	346
86	2157	322
87	2183	297
88	2212	273
89	2237	248
90	2261	223
91	2263	196
92	2286	172
93	2309	147
94	2332	122
95	2356	98
96	2379	73
97	2403	49
98	2427	24
99	2451	0
